reclon,reclat,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-78.87325461,42.92802435,0,4003,0,185.7950092,2020/10/08 21:21:33+00,,,,,,,,,,,,,,,,,,,,,
-78.88565595,42.92675969,0,4004,0,187.2111815,2020/10/09 22:04:05+00,,,,,,,,,,,,,,,,,,,,,
-78.8769008,42.95197773,0,4005,0,184.0750859,2020/10/10 11:52:08+00,,,,,,,,,,,,,,,,,,,,,
-78.88566636,42.92676279,0,4006,0,187.3451497,2020/10/12 16:56:58+00,,,,,,,,,,,,,,,,,,,,,
-78.87328045,42.92801862,0,4007,0,185.8452969,2020/10/08 21:21:35+00,,,,,,,,,,,,,,,,,,,,,
-78.88564392,42.92676361,0,4008,0,187.1311752,2020/10/09 22:04:08+00,,,,,,,,,,,,,,,,,,,,,
-78.8769062,42.95200107,0,4009,0,184.0750859,2020/10/10 11:52:14+00,,,,,,,,,,,,,,,,,,,,,
-78.88563468,42.92675145,0,4010,0,187.0586164,2020/10/12 16:57:01+00,,,,,,,,,,,,,,,,,,,,,
-78.87331016,42.92801708,0,4011,0,185.9070003,2020/10/08 21:21:36+00,,,,,,,,,,,,,,,,,,,,,
-78.88570572,42.9267331,0,4012,0,187.1702,2020/10/09 22:04:29+00,,,,,,,,,,,,,,,,,,,,,
-78.87690819,42.95195837,0,4013,0,184.0750859,2020/10/10 11:52:26+00,,,,,,,,,,,,,,,,,,,,,
-78.88560971,42.92675843,0,4014,0,187.1492439,2020/10/12 16:57:04+00,,,,,,,,,,,,,,,,,,,,,
-78.87334263,42.92801746,0,4015,0,185.8947563,2020/10/08 21:21:37+00,,,,,,,,,,,,,,,,,,,,,
-78.88567561,42.9267269,0,4016,0,187.3155356,2020/10/09 22:04:40+00,,,,,,,,,,,,,,,,,,,,,
-78.87691093,42.95197845,0,4017,0,184.0750859,2020/10/10 11:52:32+00,,,,,,,,,,,,,,,,,,,,,
-78.88557524,42.92675272,0,4018,0,187.0823628,2020/10/12 16:57:06+00,,,,,,,,,,,,,,,,,,,,,
-78.87337451,42.92801676,0,4019,0,185.8582669,2020/10/08 21:21:39+00,,,,,,,,,,,,,,,,,,,,,
-78.88570703,42.92671128,0,4020,0,187.1848714,2020/10/09 22:04:42+00,,,,,,,,,,,,,,,,,,,,,
-78.876889,42.95199083,0,4021,0,184.0750859,2020/10/10 11:52:50+00,,,,,,,,,,,,,,,,,,,,,
-78.88539143,42.92672386,0,4022,0,187.1749181,2020/10/12 16:57:10+00,,,,,,,,,,,,,,,,,,,,,
-78.8734115,42.92801527,0,4023,0,185.846,2020/10/08 21:21:40+00,,,,,,,,,,,,,,,,,,,,,
-78.88567967,42.92673196,0,4024,0,187.2468412,2020/10/09 22:04:44+00,,,,,,,,,,,,,,,,,,,,,
-78.87687474,42.95196251,0,4025,0,184.0750859,2020/10/10 11:52:56+00,,,,,,,,,,,,,,,,,,,,,
-78.88557979,42.9267743,0,4026,0,187.2001642,2020/10/12 16:57:12+00,,,,,,,,,,,,,,,,,,,,,
-78.873469,42.92801619,0,4027,0,185.9169502,2020/10/08 21:21:41+00,,,,,,,,,,,,,,,,,,,,,
-78.88565083,42.92672884,0,4028,0,187.0589856,2020/10/09 22:04:50+00,,,,,,,,,,,,,,,,,,,,,
-78.87682218,42.95200112,0,4029,0,184.0750859,2020/10/10 11:53:02+00,,,,,,,,,,,,,,,,,,,,,
-78.88544659,42.92686909,0,4030,0,187.2891258,2020/10/12 16:57:16+00,,,,,,,,,,,,,,,,,,,,,
-78.8735339,42.92801605,0,4031,0,186.1396753,2020/10/08 21:21:42+00,,,,,,,,,,,,,,,,,,,,,
-78.88561982,42.92672477,0,4032,0,187.1971277,2020/10/09 22:04:51+00,,,,,,,,,,,,,,,,,,,,,
-78.87686378,42.95200163,0,4033,0,184.0750859,2020/10/10 11:53:08+00,,,,,,,,,,,,,,,,,,,,,
-78.8855428,42.92682576,0,4034,0,187.4225348,2020/10/12 16:57:17+00,,,,,,,,,,,,,,,,,,,,,
-78.87358327,42.92801697,0,4035,0,186.1113136,2020/10/08 21:21:43+00,,,,,,,,,,,,,,,,,,,,,
-78.88560378,42.92670082,0,4036,0,187.0535553,2020/10/09 22:04:58+00,,,,,,,,,,,,,,,,,,,,,
-78.87689192,42.95198198,0,4037,0,184.0750859,2020/10/10 11:53:20+00,,,,,,,,,,,,,,,,,,,,,
-78.88557374,42.92680268,0,4038,0,187.146294,2020/10/12 16:57:19+00,,,,,,,,,,,,,,,,,,,,,
-78.87361773,42.92802175,0,4039,0,186.0745351,2020/10/08 21:21:44+00,,,,,,,,,,,,,,,,,,,,,
-78.8855919,42.92672543,0,4040,0,187.2552883,2020/10/09 22:05:01+00,,,,,,,,,,,,,,,,,,,,,
-78.87690405,42.95191965,0,4041,0,184.0750859,2020/10/10 11:53:26+00,,,,,,,,,,,,,,,,,,,,,
-78.88559997,42.92677797,0,4042,0,187.0958318,2020/10/12 16:57:20+00,,,,,,,,,,,,,,,,,,,,,
-78.87366938,42.9280257,0,4043,0,186.1529016,2020/10/08 21:21:45+00,,,,,,,,,,,,,,,,,,,,,
-78.88562416,42.92671489,0,4044,0,187.1689785,2020/10/09 22:05:04+00,,,,,,,,,,,,,,,,,,,,,
-78.87690676,42.95194995,0,4045,0,184.0750859,2020/10/10 11:53:32+00,,,,,,,,,,,,,,,,,,,,,
-78.88561052,42.9267606,0,4046,0,187.0311825,2020/10/12 16:57:21+00,,,,,,,,,,,,,,,,,,,,,
-78.87376453,42.92802458,0,4047,0,186.050662,2020/10/08 21:21:46+00,,,,,,,,,,,,,,,,,,,,,
-78.8856582,42.92671364,0,4048,0,187.122091,2020/10/09 22:05:07+00,,,,,,,,,,,,,,,,,,,,,
-78.87689506,42.95198696,0,4049,0,184.0750859,2020/10/10 11:53:44+00,,,,,,,,,,,,,,,,,,,,,
-78.88562265,42.92673783,0,4050,0,187.1255616,2020/10/12 16:57:22+00,,,,,,,,,,,,,,,,,,,,,
-78.87386583,42.92801861,0,4051,0,186.0478815,2020/10/08 21:21:47+00,,,,,,,,,,,,,,,,,,,,,
-78.8856772,42.92670213,0,4052,0,187.2352578,2020/10/09 22:05:09+00,,,,,,,,,,,,,,,,,,,,,
-78.87691631,42.95195269,0,4053,0,184.0750859,2020/10/10 11:53:50+00,,,,,,,,,,,,,,,,,,,,,
-78.88560914,42.9267614,0,4054,0,187.1795556,2020/10/12 16:57:24+00,,,,,,,,,,,,,,,,,,,,,
-78.87397757,42.9280125,0,4055,0,185.9946933,2020/10/08 21:21:48+00,,,,,,,,,,,,,,,,,,,,,
-78.88570403,42.92670985,0,4056,0,187.0346809,2020/10/09 22:05:17+00,,,,,,,,,,,,,,,,,,,,,
-78.87688017,42.95196794,0,4057,0,184.0750859,2020/10/10 11:54:02+00,,,,,,,,,,,,,,,,,,,,,
-78.88557561,42.92687463,0,4058,0,187.2539275,2020/10/12 16:57:25+00,,,,,,,,,,,,,,,,,,,,,
-78.87411295,42.9280014,0,4059,0,185.8358505,2020/10/08 21:21:49+00,,,,,,,,,,,,,,,,,,,,,
-78.88567828,42.92672052,0,4060,0,187.4801136,2020/10/09 22:05:33+00,,,,,,,,,,,,,,,,,,,,,
-78.87683876,42.95200203,0,4061,0,184.0750859,2020/10/10 11:54:08+00,,,,,,,,,,,,,,,,,,,,,
-78.88557561,42.92687463,0,4062,0,187.2539275,2020/10/12 16:57:26+00,,,,,,,,,,,,,,,,,,,,,
-78.87427651,42.92799052,0,4063,0,186.0690279,2020/10/08 21:21:50+00,,,,,,,,,,,,,,,,,,,,,
-78.88565944,42.92669676,0,4064,0,187.1819758,2020/10/09 22:05:36+00,,,,,,,,,,,,,,,,,,,,,
-78.87688671,42.95195725,0,4065,0,184.0750859,2020/10/10 11:54:20+00,,,,,,,,,,,,,,,,,,,,,
-78.88563601,42.92683674,0,4066,0,187.1709268,2020/10/12 16:57:27+00,,,,,,,,,,,,,,,,,,,,,
-78.87443634,42.92798005,0,4067,0,185.9602819,2020/10/08 21:21:51+00,,,,,,,,,,,,,,,,,,,,,
-78.88562834,42.9267011,0,4068,0,187.1498958,2020/10/09 22:05:40+00,,,,,,,,,,,,,,,,,,,,,
-78.87690836,42.95192854,0,4069,0,184.0750859,2020/10/10 11:54:26+00,,,,,,,,,,,,,,,,,,,,,
-78.88565322,42.9268198,0,4070,0,187.4216623,2020/10/12 16:57:29+00,,,,,,,,,,,,,,,,,,,,,
-78.87460688,42.92797591,0,4071,0,186.1295879,2020/10/08 21:21:52+00,,,,,,,,,,,,,,,,,,,,,
-78.88563566,42.92671364,0,4072,0,187.2188623,2020/10/09 22:05:46+00,,,,,,,,,,,,,,,,,,,,,
-78.87685922,42.9519211,0,4073,0,184.0750859,2020/10/10 11:54:32+00,,,,,,,,,,,,,,,,,,,,,
-78.8856552,42.92680024,0,4074,0,187.1223485,2020/10/12 16:57:31+00,,,,,,,,,,,,,,,,,,,,,
-78.87479804,42.9279657,0,4075,0,186.2423889,2020/10/08 21:21:53+00,,,,,,,,,,,,,,,,,,,,,
-78.8856649,42.92671566,0,4076,0,187.1693034,2020/10/09 22:06:04+00,,,,,,,,,,,,,,,,,,,,,
-78.87690178,42.95192217,0,4077,0,184.0750859,2020/10/10 11:54:44+00,,,,,,,,,,,,,,,,,,,,,
-78.88566431,42.92677792,0,4078,0,187.2737448,2020/10/12 16:57:32+00,,,,,,,,,,,,,,,,,,,,,
-78.87500799,42.92796187,0,4079,0,186.306717,2020/10/08 21:21:54+00,,,,,,,,,,,,,,,,,,,,,
-78.88569165,42.9267179,0,4080,0,187.3907206,2020/10/09 22:06:13+00,,,,,,,,,,,,,,,,,,,,,
-78.8769253,42.95195386,0,4081,0,184.0750859,2020/10/10 11:54:50+00,,,,,,,,,,,,,,,,,,,,,
-78.88570422,42.92673926,0,4082,0,187.2250668,2020/10/12 16:57:33+00,,,,,,,,,,,,,,,,,,,,,
-78.87521089,42.92795947,0,4083,0,186.3324215,2020/10/08 21:21:55+00,,,,,,,,,,,,,,,,,,,,,
-78.88566618,42.92672154,0,4084,0,187.3854464,2020/10/09 22:06:22+00,,,,,,,,,,,,,,,,,,,,,
-78.87689449,42.95193064,0,4085,0,184.0750859,2020/10/10 11:54:56+00,,,,,,,,,,,,,,,,,,,,,
-78.88569262,42.92660101,0,4086,0,187.3554972,2020/10/12 16:57:36+00,,,,,,,,,,,,,,,,,,,,,
-78.8754169,42.92795897,0,4087,0,186.3450234,2020/10/08 21:21:56+00,,,,,,,,,,,,,,,,,,,,,
-78.88567934,42.92670452,0,4088,0,187.0767266,2020/10/09 22:06:32+00,,,,,,,,,,,,,,,,,,,,,
-78.87693663,42.95192868,0,4089,0,184.0750859,2020/10/10 11:55:02+00,,,,,,,,,,,,,,,,,,,,,
